start_datetime_minute,end_datetime_minute,cycle_type,cycle_duration,average_power,soc_change
2025-04-28 20:46:00,2025-04-28 21:58:00,charging,72.0,-56928.01004566209,39.08891563415528
2025-04-28 22:01:00,2025-04-28 22:39:00,charging,38.0,-52049.02948717949,17.677498753865564
2025-04-28 22:46:00,2025-04-28 23:03:00,charging,17.0,-18742.56944444445,1.997415542602539
2025-04-28 23:07:00,2025-04-28 23:11:00,discharging,4.0,3244.6833333333334,-0.203834152221674
2025-04-28 23:20:00,2025-04-28 23:48:00,discharging,28.0,54117.24137931035,-17.568615468343097
2025-04-28 23:55:00,2025-04-29 00:03:00,discharging,8.0,35202.22222222222,-3.5778348286946624
2025-04-29 00:05:00,2025-04-29 01:03:00,discharging,58.0,54974.46440677966,-36.91158428192139
2025-04-29 01:05:00,2025-04-29 01:13:00,discharging,8.0,28605.744444444445,-3.0169171651204465
2025-04-29 01:16:00,2025-04-29 01:28:00,discharging,12.0,16963.11282051282,-2.514082972208662
2025-04-29 02:00:00,2025-04-29 02:33:00,discharging,33.0,55436.39705882353,-21.21158358256022
2025-04-29 07:01:00,2025-04-29 07:08:00,discharging,7.0,31554.95,-2.581583404541016
2025-04-29 07:10:00,2025-04-29 07:35:00,discharging,25.0,22972.648076923077,-3.3259163538614915
2025-04-29 08:46:00,2025-04-29 09:22:00,charging,36.0,-36983.56891891893,12.26374965508779
2025-04-29 09:26:00,2025-04-29 09:58:00,charging,32.0,-20427.369696969694,8.539919853210447
2025-04-29 10:01:00,2025-04-29 10:23:00,discharging,22.0,14472.262318840576,-6.456666723887128
2025-04-29 11:36:00,2025-04-29 11:43:00,charging,7.0,-12148.60625,1.4390913327534989
2025-04-29 11:51:00,2025-04-29 13:30:00,charging,99.0,-18563.443,-17.88757546742757
2025-04-29 18:16:00,2025-04-29 18:24:00,charging,8.0,-27919.664814814816,1.0269998550415025
2025-04-29 19:06:00,2025-04-29 19:49:00,charging,43.0,-50424.27121212122,20.079249572753902
2025-04-29 20:14:00,2025-04-29 20:14:00,charging,0.0,-2134.516666666667,0.0
2025-04-29 20:56:00,2025-04-29 21:04:00,charging,8.0,-30007.83333333334,2.615332667032881
2025-04-29 21:16:00,2025-04-29 21:44:00,charging,28.0,-45648.31264367815,12.674999809265145
2025-04-29 22:06:00,2025-04-29 22:24:00,charging,18.0,-41799.45263157895,7.532333882649738
2025-04-29 22:31:00,2025-04-29 22:49:00,charging,18.0,-40460.86403508772,7.088167699178058
2025-04-29 23:01:00,2025-04-29 23:35:00,charging,34.0,-32313.02190476191,9.156871287027982
2025-04-29 23:46:00,2025-04-29 23:53:00,discharging,7.0,10860.068749999999,-0.9374176025390568
2025-04-30 00:01:00,2025-04-30 00:18:00,charging,17.0,-14990.074999999999,1.6758206685384067
2025-04-30 00:51:00,2025-04-30 01:18:00,discharging,27.0,35281.64345238095,-19.12089742024739
2025-04-30 01:21:00,2025-04-30 01:48:00,discharging,27.0,35621.43095238095,-19.46615409851075
2025-04-30 01:51:00,2025-04-30 02:28:00,discharging,37.0,36730.74298245614,-26.981025759379065
2025-04-30 02:43:00,2025-04-30 02:48:00,discharging,5.0,16335.480555555556,-2.0683326721191406
2025-04-30 03:01:00,2025-04-30 03:08:00,discharging,7.0,15486.927083333332,-2.673076883951822
2025-04-30 03:16:00,2025-04-30 03:28:00,charging,12.0,-20346.653846153848,4.86820503870646
2025-04-30 04:31:00,2025-04-30 04:49:00,charging,18.0,-31162.260526315793,10.558718395233157
2025-04-30 06:01:00,2025-04-30 06:14:00,charging,13.0,-28198.60714285714,7.130127652486166
2025-04-30 06:31:00,2025-04-30 07:04:00,charging,33.0,-34838.742647058825,20.7932066599528
2025-04-30 09:31:00,2025-04-30 09:49:00,charging,18.0,-29800.84736842105,9.856284840901694
2025-04-30 09:51:00,2025-04-30 10:33:00,charging,42.0,-31955.591085271313,21.889102427164715
2025-04-30 10:41:00,2025-04-30 10:48:00,discharging,7.0,13612.154166666667,-2.393334070841476
2025-04-30 10:51:00,2025-04-30 10:58:00,discharging,7.0,5508.225,-0.9974346160888672
2025-04-30 11:06:00,2025-04-30 11:28:00,charging,22.0,-12292.992753623188,4.684488677978507
2025-04-30 11:44:00,2025-04-30 11:45:00,discharging,1.0,2418.0666666666666,-0.08153826395670194
2025-04-30 12:18:00,2025-04-30 12:27:00,charging,9.0,-3526.658333333333,0.47347017923991075
2025-04-30 16:56:00,2025-04-30 17:08:00,charging,12.0,-9539.58076923077,1.841670099894202
2025-04-30 18:07:00,2025-04-30 18:15:00,charging,8.0,-5536.787037037037,0.3757401784260992
2025-04-30 18:42:00,2025-04-30 18:52:00,charging,10.0,-5244.75909090909,0.6013921101887973
